year,month,date,cumulative_cases,cumulative_deaths
2020,2,2020-02-01,8,0
2020,3,2020-03-01,88,3
2020,4,2020-04-01,215391,5325
2020,5,2020-05-01,1109726,64902
2020,6,2020-06-01,1821199,105113
2020,7,2020-07-01,2703296,128104
2020,8,2020-08-01,4628497,154917
2020,9,2020-09-01,6089506,184563
2020,10,2020-10-01,7309153,207699
2020,11,2020-11-01,9283202,230940
2020,12,2020-12-01,13799549,270639
2021,1,2021-01-01,20172049,347970
2021,2,2021-02-01,26363284,443249
2021,3,2021-03-01,28680857,514404
2021,4,2021-04-01,30556079,552615
2021,5,2021-05-01,32407133,576352
2021,6,2021-06-01,33300482,594827
2021,7,2021-07-01,33704723,604693
2021,8,2021-08-01,35041458,612982
2021,9,2021-09-01,39527624,642454
2021,10,2021-10-01,43583808,700429
2021,11,2021-11-01,46058665,746688
